dzien,od,do,kier,przedmiot,forma,sala,grupy,flagi,zrodlo
poniedziałek,08:15,09:00,GP,Statystyka,C,2.04 H,gr 1–2 z 4,propozycja 26/27,gp__sst_26-27_zima-0911a.pdf
poniedziałek,09:15,10:00,GP,Statystyka,C,2.04 H,gr 3–4 z 4,propozycja 26/27,gp__sst_26-27_zima-0911a.pdf
poniedziałek,10:15,12:00,Konsultacje,,K,420G,-,,
poniedziałek,12:15,14:00,IDSaT,Statystyka matematyczna,C,3.19 H,gr 1,projekt,idsik_sst_z_26-27__zima_projekt_1308.pdf s.1
wtorek,09:30,10:15,OZE,Statystyczna analiza danych,W,2.02,całość,propozycja · akt. 27.08,ozeigo_2627_2_stopien_2_semestr.pdf s.1
wtorek,10:15,11:15,OZE,Statystyczna analiza danych,C,2.02,1 slot,propozycja · akt. 27.08,ozeigo_2627_2_stopien_2_semestr.pdf s.1
środa,12:15,14:00,IBezp,Analiza ryzyka,W,3.30 H,całość,projekt · 12 spotkań · przen. z wt.,"rozkład IBezp rok IV sem.7 (zrzut ekranu), akt. 02.09.2026"
środa,14:15,16:00,IBezp,Analiza ryzyka,C,3.30 H,gr 1,projekt · 12 spotkań · przen. z wt.,"rozkład IBezp rok IV sem.7 (zrzut ekranu), akt. 02.09.2026"
piątek,08:15,10:00,IDSaT,Statystyka matematyczna,W,II G,całość,projekt,idsik_sst_z_26-27__zima_projekt_1308.pdf s.1
piątek,10:15,11:00,Konsultacje,,K,420G,-,,
piątek,11:15,12:00,GP,Statystyka,W,I M,całość,propozycja 26/27,gp__sst_26-27_zima-0911a.pdf
piątek,12:15,14:00,IDSaT,Statystyka matematyczna,C,2.05 H,gr 2 i 3,projekt,idsik_sst_z_26-27__zima_projekt_1308.pdf s.1
